full_name,email,source_channel,app_opens_before_fair,bookmarks_count,confidence_level,stands_visited,total_dwell_minutes,conversations,stands_not_visited_count,content_pieces_viewed,direct_contacts,fair_influenced_decision,journey_completeness_score
"Chloe Thomas",student0568@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Moreau",student0569@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Laurent",student0570@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Leroy",student0571@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Durand",student0572@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Thomas",student0573@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Bernard",student0574@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Moreau",student0575@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Durand",student0576@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Leroy",student0577@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Dubois",student0578@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Thomas",student0579@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Lefebvre",student0580@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Leroy",student0581@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Martin",student0582@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Durand",student0583@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Moreau",student0584@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Thomas",student0585@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Lefebvre",student0586@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Lefebvre",student0587@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Moreau",student0588@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Bernard",student0589@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Thomas",student0590@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Simon",student0591@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Robert",student0592@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Leroy",student0593@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Durand",student0594@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Dubois",student0595@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Simon",student0596@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Durand",student0597@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Petit",student0598@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Durand",student0599@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Martin",student0600@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Robert",student0601@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Dubois",student0602@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Lefebvre",student0603@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Leroy",student0604@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Martin",student0605@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Durand",student0606@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Leroy",student0607@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Laurent",student0608@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Thomas",student0609@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Lefebvre",student0610@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Leroy",student0611@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Lefebvre",student0612@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Dubois",student0613@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Martin",student0614@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Laurent",student0615@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Lefebvre",student0616@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Laurent",student0617@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Martin",student0618@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Lefebvre",student0619@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Robert",student0620@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Moreau",student0621@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Bernard",student0622@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Petit",student0623@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Durand",student0624@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Laurent",student0625@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Martin",student0626@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Bernard",student0627@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Bernard",student0628@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Bernard",student0629@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Bernard",student0630@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Moreau",student0631@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Martin",student0632@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Robert",student0633@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Martin",student0634@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Robert",student0635@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Bernard",student0636@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Simon",student0637@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Thomas",student0638@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Simon",student0639@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Durand",student0640@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Leroy",student0641@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Bernard",student0642@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Lefebvre",student0643@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Simon",student0644@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Martin",student0645@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Moreau",student0646@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Simon",student0647@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Thomas",student0648@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Martin",student0649@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Martin",student0650@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Simon",student0651@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Lefebvre",student0652@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Moreau",student0653@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Petit",student0654@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Laurent",student0655@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Moreau",student0656@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Durand",student0657@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Thomas",student0658@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Dubois",student0659@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Lefebvre",student0660@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Thomas",student0661@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Thomas",student0662@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Martin",student0663@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Robert",student0664@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Martin",student0665@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Robert",student0666@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Thomas",student0667@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Thomas",student0668@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Lefebvre",student0761@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Dubois",student0771@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Laurent",student0776@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Bernard",student0779@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Lefebvre",student0780@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Petit",student0781@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Martin",student0782@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Durand",student0783@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Petit",student0784@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Martin",student0785@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Simon",student0786@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Thomas",student0787@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Moreau",student0788@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Petit",student0789@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Dubois",student0790@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Petit",student0791@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Martin",student0792@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Bernard",student0793@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Durand",student0794@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Simon",student0795@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Petit",student0796@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Thomas",student0797@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Moreau",student0798@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Dubois",student0799@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Dubois",student0800@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Dubois",student0801@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Thomas",student0802@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Bernard",student0803@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Leroy",student0804@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Thomas",student0805@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Moreau",student0806@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Durand",student0807@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Martin",student0808@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Martin",student0809@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Leroy",student0810@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Moreau",student0811@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Dubois",student0812@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Robert",student0813@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Dubois",student0814@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Bernard",student0815@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Robert",student0816@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Chloe Lefebvre",student0817@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Durand",student0818@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Moreau",student0819@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Laurent",student0884@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Dubois",student0886@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Robert",student0890@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Martin",student0891@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Dubois",student0892@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Thomas",student0893@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lea Durand",student0894@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Leroy",student0895@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Simon",student0896@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Bernard",student0897@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Martin",student0898@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Simon",student0899@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Bernard",student0900@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Robert",student0901@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Martin",student0902@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Moreau",student0903@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Yanis Moreau",student0904@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Simon",student0905@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Bernard",student0906@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Dubois",student0907@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Lucas Laurent",student0908@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Petit",student0909@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Laurent",student0910@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Leroy",student0911@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Dubois",student0912@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Leroy",student0913@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Thomas",student0914@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Dubois",student0915@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Petit",student0916@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Laurent",student0917@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Bernard",student0918@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Laurent",student0919@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Laurent",student0920@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Robert",student0941@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Bernard",student0946@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Dubois",student0950@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Ines Moreau",student0951@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Simon",student0952@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Robert",student0953@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Dubois",student0954@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Emma Durand",student0955@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Hugo Robert",student0956@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Nathan Thomas",student0957@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Dubois",student0958@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Laurent",student0959@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Sarah Simon",student0960@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Leroy",student0961@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Louis Laurent",student0962@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Camille Petit",student0963@demo-letudiant.fr,,,,,0,,0,,0,0,0,
"Noah Thomas",student0964@demo-letudiant.fr,,,,,0,,0,,0,0,0,
